,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description,wikipedia_summary,wikipedia_url
101,101,Azerbaijan,40,Aygün Kazimova,http://www.wikidata.org/entity/Q2361757,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,wd:Q2361757,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,5527409,Azerbaijani singer and actress,"Aygun Alasgar gizi Kazimova (Azerbaijani: Aygün Ələsgər qızı Kazımova) (born 26 January 1971) is an Azerbaijani singer, songwriter, pop musician, and actress.
She is a well known singer in Azerbaijan, Turkey and Russia. Her 2006 and 2007 solo concerts in Moscow and Baku brought her fame. During 2002 – 2006 she was president of the ""Best Model of Azerbaijan"" competition. Her ""Hayat Ona Guzel"" single was the most popular in Turkey on iTunes. Kazimova wrote and sang the anthem of the FIFA U-17 Women's World Cup 2012.  Her duet with Snoop Dogg Coffee from Colombia was a number one hit on the Azerbaijani, Turkish, Czech Republic, Colombian, Georgian and Russian charts. Kazimova has recorded ten albums.",https://en.wikipedia.org/wiki/Aygun_Kazimova
121,121,Bahrain,49,Jacqueline Fernandez,http://www.wikidata.org/entity/Q2312801,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,wd:Q2312801,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,10094963,Bahraini-Sri Lankan actress,"Jacqueline Fernandez (born 11 August 1985) is a Sri Lankan actress, model and the winner of the Miss Universe Sri Lanka pageant of 2006 who predominantly works in Hindi films. In 2009, she debuted with Aladin and since then has established a career in the Hindi film industry. Fernandez was born and raised in Bahrain to a multiracial Eurasian family of Sri Lankan, Canadian, and Malaysian descent. After graduating in mass communication from the University of Sydney and working as a television reporter in Sri Lanka, she joined the modeling industry. She was crowned Miss Universe Sri Lanka in 2006, and represented her country at Miss Universe 2006.
While on a modelling assignment in India in 2009, Fernandez successfully auditioned for Sujoy Ghosh's fantasy drama Aladin, which marked her acting debut. Fernandez had her breakthrough role with the psychological thriller Murder 2 (2011), her first commercial success. This was followed by glamorous roles in the commercially successful ensemble-comedy Housefull 2 (2012) and the action thriller Race 2 (2013), which garnered her an IIFA Award for Best Supporting Actress nomination. Fernandez went on to star in the top-grossing action film Kick (2014) and the comedies Housefull 3 (2016) and Judwaa 2 (2017).
Alongside her screen acting career, Fernandez has worked as a judge in the ninth season of the dance reality show Jhalak Dikhhla Jaa (2016–2017), is a popular celebrity endorser for various brands and products, has participated in stage shows, and is active in humanitarian work.",https://en.wikipedia.org/wiki/Jacqueline_Fernandez
139,139,Bangladesh,87,Sheikh Hasina,http://www.wikidata.org/entity/Q52183,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,wd:Q52183,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,623439,Prime Minister of Bangladesh,"Sheikh Hasina Wazed (née Sheikh Hasina ;  SHEKH ha-si-na; Bengali: শেখ হাসিনা ওয়াজেদ, romanized: Shēkh Hasinā, [ˈʃekʰ ɦɐsina]; born 28 September 1947) is a Bangladeshi politician who has been serving as the Prime Minister of Bangladesh since January 2009. She previously served as prime minister from June 1996 to July 2001. She is the longest serving prime minister in the history of Bangladesh, having served for a combined total of over 18 years. She is the longest serving female head of government in the world.
Hasina is the daughter of Bangladesh's Founding Father and first president, Bangabandhu Sheikh Mujibur Rahman, and the eldest of his five children. Her political career has spanned more than four decades. She previously served as opposition leader from 1986 to 1990, and 1991 to 1995, then as prime minister from 1996 to 2001. She has led the Awami League (AL) since 1981. In 2009, she was sworn in for her second term as Prime Minister, having won a landslide victory in the 2008 general election. In 2014, she was re-elected for a third term in an election that was boycotted by the BNP and criticised by international observers. She won a fourth term in 2018, following an election marred with violence and criticised by the opposition as being rigged.
Hasina has been considered one of the most powerful women in the world, ranking 39th on Forbes magazine's list of The World's 100 Most Powerful Women in 2020, 26th in 2018, and 30th in 2017. She has also made a list of ""top 100 Global Thinkers"" of the present decade. Hasina is a member of the Council of Women World Leaders, an international network of current and former female presidents and prime ministers. Sheikh Hasina was included in Time magazine's 100 Most Influential People in the World of 2018. Reporters Without Borders in 2021 characterised Sheikh Hasina as a predator for curbing press freedom in Bangladesh since 2014.",https://en.wikipedia.org/wiki/Sheikh_Hasina
141,141,Barbados,136,Rihanna,http://www.wikidata.org/entity/Q36844,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,wd:Q36844,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,2110323,Barbadian artist and businesswoman,"Robyn Rihanna Fenty  (born February 20, 1988) ( ree-ANN-ə) is a Barbadian singer, actress, fashion designer, and businesswoman. Born in Saint Michael and raised in Bridgetown, Barbados, Rihanna was discovered by American record producer Evan Rogers who invited her to the United States to record demo tapes. After signing with Def Jam in 2005, she soon gained recognition with the release of her first two studio albums, Music of the Sun (2005) and A Girl Like Me (2006), both of which were influenced by Caribbean music and peaked within the top ten of the US Billboard 200 chart.
Rihanna's third album, Good Girl Gone Bad (2007), incorporated elements of dance-pop and established her status as a sex symbol in the music industry. The chart-topping single ""Umbrella"" earned Rihanna her first Grammy Award and catapulted her to global stardom. She continued to mix pop, dance, and R&B genres on her next studio albums, Rated R (2009), Loud (2010), Talk That Talk (2011), and Unapologetic (2012), the latter of which became her first Billboard 200 number one. The albums spawned a string of chart-topping singles, including ""Rude Boy"", ""Only Girl (In the World)"", ""What's My Name?"", ""S&M"", ""We Found Love"", ""Where Have You Been"" and ""Diamonds"". Her eighth album, Anti (2016), showcased a new creative control following her departure from Def Jam. It became her second US number one album and featured the chart-topping single ""Work"". During her musical career, Rihanna has collaborations with artists such as rappers Drake, Eminem, Jay-Z, and Kanye West and singers Adam Levine, Paul McCartney, Ne-Yo, and Shakira.
With sales of over 250 million records worldwide, Rihanna is one of the best-selling music artists of all time. She has earned 14 number-ones and 31 top-ten singles in the US and 30 top-ten entries in the UK. Her accolades include nine Grammy Awards, 13 American Music Awards (including the Icon Award), 12 Billboard Music Awards, six Guinness World Records, and the NAACP's President's Award. Time named her one of the 100 most influential people in the world in 2012 and 2018. Forbes ranked her among the top ten highest-paid celebrities in 2012 and 2014. As of 2021, she is the wealthiest female musician, with an estimated net worth of $1.7 billion.Aside from music, Rihanna is known for her involvement in humanitarian causes, entrepreneurial ventures, and the fashion industry. She is the founder of the nonprofit organisation Clara Lionel Foundation, cosmetics brand Fenty Beauty, and fashion house Fenty under LVMH; she is the first black woman to head a luxury brand for LVMH. Rihanna has also ventured into acting, appearing in major roles in Battleship (2012), Home (2015), Valerian and the City of a Thousand Planets (2017), and Ocean's 8 (2018). She was appointed as an ambassador of education, tourism, and investment by the Government of Barbados in 2018, and was declared a National Hero of Barbados on the first day of the country's parliamentary republic in 2021, entitling her to the style of ""The Right Excellent"" for life.",https://en.wikipedia.org/wiki/Rihanna
144,144,Belarus,109,Svetlana Aleksievich,http://www.wikidata.org/entity/Q274334,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,wd:Q274334,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,"Svetlana Alexandrovna Alexievich (born 31 May 1948) is a Belarusian investigative journalist, essayist and oral historian who writes in Russian. She was awarded the 2015 Nobel Prize in Literature ""for her polyphonic writings, a monument to suffering and courage in our time"". She is the first writer from Belarus to receive the award.",https://en.wikipedia.org/wiki/Svetlana_Alexievich
148,148,Belgium,128,Audrey Hepburn,http://www.wikidata.org/entity/Q42786,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),wd:Q42786,52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),52139,British-Dutch actress (1929-1993),"Audrey Hepburn (born Audrey Kathleen Ruston; 4 May 1929 – 20 January 1993) was a British actress and humanitarian. Recognised as both a film and fashion icon, she was ranked by the American Film Institute as the third-greatest female screen legend from the Classical Hollywood cinema and was inducted into the International Best Dressed List Hall of Fame. 
Born in Ixelles, Brussels to an aristocratic family, Hepburn spent parts of her childhood in Belgium, England, and the Netherlands. She studied ballet with Sonia Gaskell in Amsterdam beginning in 1945, and with Marie Rambert in London from 1948. She began performing as a chorus girl in West End musical theatre productions and then had minor appearances in several films. She rose to stardom in the romantic comedy Roman Holiday (1953) alongside Gregory Peck, for which she was the first actress to win an Oscar, a Golden Globe Award, and a BAFTA Award for a single performance. That year, she also won a Tony Award for Best Lead Actress in a Play for her performance in Ondine.
She went on to star in a number of successful films such as Sabrina (1954), in which Humphrey Bogart and William Holden compete for her affection; Funny Face (1957), a musical where she sang her own parts; the drama The Nun's Story (1959); the romantic comedy Breakfast at Tiffany's (1961); the thriller-romance Charade (1963), opposite Cary Grant; and the musical My Fair Lady (1964). In 1967 she starred in the thriller Wait Until Dark, receiving Academy Award, Golden Globe, and BAFTA nominations. After that, she only occasionally appeared in films, one being Robin and Marian (1976) with Sean Connery. Her last recorded performances were in the 1990 documentary television series Gardens of the World with Audrey Hepburn for which she won a Primetime Emmy Award for Outstanding Individual Achievement – Informational Programming.
Hepburn won three BAFTA Awards for Best British Actress in a Leading Role. In recognition of her film career, she received BAFTA's Lifetime Achievement Award, the Golden Globe Cecil B. DeMille Award, the Screen Actors Guild Life Achievement Award, and the Special Tony Award. She remains one of only sixteen people who have won Academy, Emmy, Grammy, and Tony Awards. Later in life, Hepburn devoted much of her time to UNICEF, to which she had contributed since 1954. Between 1988 and 1992, she worked in some of the poorest communities of Africa, South America, and Asia. In December 1992, she received the Presidential Medal of Freedom in recognition of her work as a UNICEF Goodwill Ambassador. A month later, she died of appendiceal cancer at her home in Switzerland at the age of 63.",https://en.wikipedia.org/wiki/Audrey_Hepburn
158,158,Belize,54,Simone Biles,http://www.wikidata.org/entity/Q7520267,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,wd:Q7520267,38659992,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,38659992,American Olympic gymnast,"Simone Arianne Biles (born March 14, 1997) is an American artistic gymnast. With a combined total of 32 Olympic and World Championship medals, Biles is tied as the most decorated gymnast of all time. Biles' seven Olympic medals also ties Shannon Miller for the most Olympic medals won by an American gymnast. Biles is considered one of the greatest and most dominant gymnasts of all time.At the 2016 Summer Olympics in Rio de Janeiro, Biles won individual gold medals in the all-around, vault, and floor; bronze on balance beam; and gold as part of the United States team, dubbed the ""Final Five"". At the 2020 Summer Olympics in Tokyo, she won bronze on balance beam, as well as silver with the United States team, after struggling with ""the twisties"", a temporary loss of air balance awareness. Her partial withdrawal, focus on safety, mental health, and perseverance were praised. Biles is also a five-time World all-around champion (2013–2015, 2018–2019), five-time World floor exercise champion (2013–2015, 2018–2019), three-time World balance beam champion (2014–2015, 2019), two-time World vault champion (2018–2019), a seven-time United States national all-around champion (2013–2016, 2018–2019, 2021), and a member of the gold medal-winning American teams at the 2014, 2015, 2018, and 2019 World Artistic Gymnastics Championships. Additionally, she is a three-time World silver medalist (2013 and 2014 on vault, 2018 on uneven bars) and a three-time World bronze medalist (2015 on vault, 2013 and 2018 on balance beam).
Biles is the gymnast with the most World medals (25) and most World gold medals (19), having surpassed Vitaly Scherbo's record 23 World medals by winning her 24th and 25th, both gold, at the 2019 competition in Stuttgart. She is the female gymnast with the most World all-around titles (5). Biles is the sixth woman to win an individual all-around title at both the World Championships and the Olympics, and the first gymnast since Lilia Podkopayeva in 1996 to hold both titles simultaneously. She is the tenth female gymnast and first American female gymnast to win a World medal on every event, and the first female gymnast since Daniela Silivaș in 1988 to win a medal on every event at a single Olympic Games or World Championships, having accomplished this feat at the 2018 World Championships in Doha.

",https://en.wikipedia.org/wiki/Simone_Biles
159,159,Benin,44,Angélique Kidjo,http://www.wikidata.org/entity/Q231276,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",wd:Q231276,736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist",736026,"Beninese musician, actress, and activist","Angélique Kpasseloko Hinto Hounsinou Kandjo Manta Zogbin Kidjo (; born July 14, 1960) is a Beninese singer-songwriter, actress, and activist who is noted for her diverse musical influences and creative music videos. In 2007, Time magazine called her ""Africa's premier diva"". 
Angelique has sung during the Tokyo 2020 Olympic Games Opening Ceremony on July 23, 2021  On September 15, 2021, Time included her in their list of the 100 most influential people in the world.Her musical influences include the Afropop, Caribbean zouk, Congolese rumba, jazz, gospel, and Latin styles; as well as her childhood idols Bella Bellow, James Brown, Nina Simone, Aretha Franklin, Celia Cruz, Jimi Hendrix, Miriam Makeba and Carlos Santana. She has recorded George Gershwin's ""Summertime"", Ravel's Boléro, Jimi Hendrix's ""Voodoo Child"" and the Rolling Stones' ""Gimme Shelter"", and has collaborated with Dave Matthews and the Dave Matthews Band, Kelly Price, Alicia Keys, Branford Marsalis, Ziggy Marley, Philip Glass, Peter Gabriel, Bono, Yo-Yo Ma, Carlos Santana, John Legend, Herbie Hancock, Josh Groban, Dr John, the Kronos Quartet, Yemi Alade, Cassandra Wilson, Burna Boy, Sting, Mr Eazi and Indonesia's pop star Anggun. Kidjo's hit songs include ""Agolo"", ""We We"", ""Adouma"", ""Wombo Lombo"", ""Afirika"", ""Batonga"", and her version of ""Malaika"". Her album Logozo is ranked number 37 in the Greatest Dance Albums of All Time list compiled by Vice magazine's Thump website.Kidjo is fluent in five languages: Fon, French, Yorùbá, Gen (Mina), and English. She sings in all of them, and she also has her own personal language, which includes words that serve as song titles such as ""Batonga"". ""Malaika"" is a song sung in the Swahili language. Kidjo often uses Benin's traditional Zilin vocal technique and vocalese.",https://en.wikipedia.org/wiki/Ang%C3%A9lique_Kidjo
166,166,Bhutan,39,Jetsun Pema,http://www.wikidata.org/entity/Q209532,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,wd:Q209532,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,33344106,Queen consort of Bhutan as the wife of King Jigme Khesar Namgyel Wangchuck,"Jetsun Pema (Dzongkha: རྗེ་བཙུན་པདྨ་; Wylie: rje btsun padma; born 4 June 1990) is the Druk Gyaltsuen (Dzongkha: Dragon Queen) of Bhutan, as the wife of King Jigme Khesar Namgyel Wangchuck.  She is currently the youngest queen consort in the world. She and the King have two children: Prince Jigme Namgyel Wangchuck, the heir apparent to the Bhutanese throne, and Jigme Ugyen Wangchuck.",https://en.wikipedia.org/wiki/Jetsun_Pema
173,173,Bolivia,55,Jeanine Áñez,http://www.wikidata.org/entity/Q16581287,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,wd:Q16581287,62310179,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,62310179,former President of Bolivia,"Jeanine Áñez Chávez (Spanish pronunciation: [ɟʝaˈnine ˈaɲes ˈt͡ʃaβes] (listen); born 13 June 1967) is a Bolivian lawyer, politician, and former television presenter who served as the 66th president of Bolivia from 2019 to 2020. A former member of the Social Democratic Movement, she previously served two terms as senator for Beni from 2015 to 2019 on behalf of the Democratic Unity coalition and from 2010 to 2014 on behalf of the National Convergence alliance. During this time, she served as second vice president of the Senate from 2015 to 2016 and in 2019 and, briefly, was president of the Senate, also in 2019. Before that, she served as a uninominal member of the Constituent Assembly from Beni, representing circumscription 61 from 2006 to 2007 on behalf of the Social Democratic Power alliance.
Born in San Joaquín, Beni, Áñez graduated as a lawyer from the José Ballivián Autonomous University before working in the field of television journalism. An early advocate of departmental autonomy, in 2006, she was invited by the Social Democratic Power alliance to represent Beni in the 2006–2007 Constituent Assembly, charged with drafting a new constitution for Bolivia. Following the completion of that historic process, Áñez ran for senator for Beni with the National Convergence alliance, becoming one of the few former constituents to maintain a political career at the national level. Once in the Senate, the National Convergence caucus quickly fragmented, leading Áñez to abandon it in favor of the emergent Social Democratic Movement, an autonomist political party based in the eastern departments. Together with the Democrats, as a component of the Democratic Unity coalition, she was reelected senator in 2014. During her second term, Áñez served twice as second vice president of the Senate, making her the highest-ranking opposition legislator in that chamber during the social unrest the country faced in late 2019.
In the midst of this political crisis, and after the resignation of President Evo Morales and other officials in the line of succession, Áñez declared herself next in line to assume the presidency. On 12 November 2019, she installed an extraordinary session of the Plurinational Legislative Assembly that lacked quorum due to the absence of members of the Movement for Socialism, who demanded security guarantees before attending. In a short session, Áñez declared herself, first, president of the Senate, before then using that position as a basis to assume constitutional succession to the presidency of the State. Her transitional government focused on pacifying the country, calling for new elections, and, later, combating the COVID-19 pandemic. Responding to domestic unrest, Áñez issued a decree removing criminal liability for military and police in dealing with protesters, resulting in the Senkata and Sacaba massacres, causing her to repeal it amid widespread condemnation. Her government launched numerous criminal investigations into former MAS officials —for which it was accused of political persecution and retributive justice— terminated Bolivia's close links with the socialist governments of Cuba, Nicaragua, and Venezuela, and warmed relations with the United States. Though Áñez succeeded in conducting free and fair elections, her decision to launch her own, ultimately unsuccessful, presidential campaign led to criticism that she was not a neutral actor in the transition and caused her to bear the brunt of the blame for the electoral victory of Luis Arce and the return to power of the MAS.
Following the end of her mandate in November 2020, Áñez briefly retired to her residence in Trinidad only to launch her Beni gubernatorial candidacy a month later. Despite being initially competitive, mounting judicial processes surrounding her time as president hampered her campaign, ultimately resulting in a third-place finish at the polls. Just eight days after the election, on 13 March 2021, Áñez was apprehended and placed in preventative detention on charges of terrorism, sedition, and conspiracy relating to the alleged coup d'état carried out in 2019, a move decried as political persecution by members of the opposition and much of the international community. Áñez's extended incarceration at the Miraflores Women's Penitentiary was denounced as abusive by her family, and a marked decline in her physical and mental health was observed.",https://en.wikipedia.org/wiki/Jeanine_%C3%81%C3%B1ez
